model,sample_pos,test_index,mse,rmse,mae,bias_mean,max_abs_error,relative_l2
FNO,83,1502,4.468222193122858e-16,2.1138169724748777e-08,1.4543359053245108e-08,4.933863472056528e-09,1.373397253701114e-07,0.05637953966356957
FNO,84,1957,6.910949935666231e-17,8.313212336796307e-09,6.052876163472829e-09,7.833626188361859e-10,4.8239030547847506e-08,0.015154837144831835
FNO,85,196,3.851495129526791e-16,1.9625226443347836e-08,1.2742789135176214e-08,-2.8233793899763883e-09,2.1414462025859393e-07,0.042402937792125395
FNO,86,2222,1.4709059546583925e-15,3.835239177233139e-08,2.8196300247045106e-08,-6.169993715123179e-10,2.37096855926211e-07,0.03001539371394137
FNO,87,2040,6.330622832933214e-16,2.5160728989703804e-08,1.458984098534583e-08,-1.3651376481713197e-09,2.6844520562008256e-07,0.045055675061285674
FNO,88,2763,2.6373124477765618e-17,5.135477044809529e-09,3.2589692315462785e-09,-1.9478480475389154e-09,3.1856671967034345e-08,0.01461836803798953
FNO,89,2839,3.434170513283641e-16,1.8531515084535428e-08,1.1317113945439472e-08,5.187144789536968e-09,1.4910609991147794e-07,0.04661371502076154
FNO,90,1933,6.856147313587794e-17,8.280185573758474e-09,6.119611240349286e-09,-4.3943047031766695e-09,3.694538008858217e-08,0.02054887626783667
FNO,91,194,4.46653365974876e-16,2.1134175308605634e-08,1.599481299779142e-08,-1.2103354369856142e-08,8.936433459894033e-08,0.027578506647649343
FNO,92,2563,6.239317437323285e-16,2.497862573746459e-08,1.5802190807175844e-08,5.8003746424828425e-09,1.4327679309644736e-07,0.057111607090360825
FNO,93,256,1.1242698593017541e-14,1.0603159242894328e-07,7.16905121072174e-08,-1.7648855856810482e-08,8.318820619024336e-07,0.1124928596031758
FNO,94,1732,5.697433292631853e-16,2.386929679029496e-08,1.4531290140313647e-08,-1.6606503637920902e-09,2.045307212483749e-07,0.0639013976543576
FNO,95,1937,5.47336505585002e-15,7.398219418110022e-08,5.7344535234278245e-08,5.200085062468626e-08,3.4519007385824807e-07,0.10536086697470654
FNO,96,331,9.27216495625428e-16,3.04502298123582e-08,2.1761284179851303e-08,-7.0081751097539e-09,1.3380977748056466e-07,0.06971485445940133
FNO,97,2764,5.986036524576743e-16,2.4466378000384004e-08,1.5653358995255656e-08,1.3674567571271056e-08,9.946111845238192e-08,0.06448064345045719
FNO,98,2632,7.333394727462467e-17,8.563524232150259e-09,6.1586542624194805e-09,9.46123746196349e-10,5.744891495851334e-08,0.006674923269555571
FNO,99,2654,6.222679809975497e-18,2.4945299777664523e-09,1.6659071571516402e-09,1.9148768499891529e-10,2.2936546884011477e-08,0.005714285384209463
FNO,100,612,4.784544215843627e-16,2.1873601020050692e-08,1.6390913513388016e-08,1.1426827027222267e-08,1.497625703450467e-07,0.04574328356166363
FNO,101,746,7.209847769984594e-15,8.491082245500036e-08,6.301493284702967e-08,2.6145165425199835e-09,3.8670737012580503e-07,0.07840254405086987
FNO,102,457,5.480386278673345e-16,2.3410224857257023e-08,1.3770317556362271e-08,7.942373920742213e-09,1.8601690499053802e-07,0.07177511467554075
FNO,103,1897,2.1494529025632277e-15,4.63621925987461e-08,2.742183199482448e-08,-8.031358625260613e-10,3.91344542549632e-07,0.06585473340958217
FNO,104,1912,6.174737777179596e-16,2.4849019653055923e-08,1.8213229435080633e-08,-1.4502083671619455e-08,8.588312994106673e-08,0.04119663669162326
FNO,105,736,3.815504287224768e-17,6.1769768392189784e-09,4.543090598542257e-09,2.9867468340583123e-09,2.8268743790249573e-08,0.015160020144916927
FNO,106,2127,1.7387682102355613e-16,1.3186236044586649e-08,9.581661297576125e-09,6.502772781214036e-09,6.96081201567722e-08,0.026756534782923662
FNO,107,410,5.3234503366584505e-17,7.296197870575092e-09,4.7312500962607265e-09,-1.0059198606100291e-09,5.585957296716515e-08,0.011519033509255035
FNO,108,51,7.59345377929391e-15,8.714042563181517e-08,5.737326045031122e-08,-4.622274059543199e-08,3.4976835650013527e-07,0.12158797728183203
FNO,109,2441,2.873060375782591e-15,5.360093633307716e-08,3.8556425468661494e-08,-1.065206256082064e-08,3.1169679459708277e-07,0.056050390464850934
FNO,110,2323,1.1801317619317025e-16,1.0863386957720425e-08,7.552175429590343e-09,-3.6030423975836364e-10,6.944529218344542e-08,0.028711108278816695
FNO,111,764,1.4205445422974187e-17,3.7690111996350164e-09,2.4343198518470346e-09,-1.675663714887612e-09,2.573813162598526e-08,0.010439616648151339
FNO,112,1505,6.603857092884636e-16,2.569797091772935e-08,1.9315190001698763e-08,-1.7003959413510468e-08,1.1073916539316997e-07,0.06521077999784489
FNO,113,700,1.5109609841794398e-17,3.887108159261123e-09,2.6425758158241038e-09,8.061460136628275e-10,3.0132014217088e-08,0.012219753395309183
FNO,114,1422,1.0000060313277324e-15,3.162287196520475e-08,2.1298483914582275e-08,2.593541688246629e-09,1.714773532057734e-07,0.0502435513201868
FNO,115,2823,1.781539463575409e-16,1.3347432200896954e-08,6.93000879782704e-09,-1.877658753663324e-09,1.419026602889062e-07,0.03712488159985833
FNO,116,1624,1.280426831894051e-16,1.1315594690046349e-08,7.593481862728314e-09,-5.342202886161391e-10,7.221626674436266e-08,0.0168928427488306
