x,Total UO2++ [M]
183,1.1733288703571495e-16
184,1.1645992002851684e-16
185,1.1569303740198473e-16
186,1.1503353345918514e-16
187,1.14482461695529e-16
188,1.1404065951480546e-16
189,1.1370876972036624e-16
190,1.1348725831228378e-16
191,1.1337642820121723e-16
192,1.1571326012038638e-16
193,1.1584354946035145e-16
194,1.161039535699442e-16
195,1.1649411664443972e-16
196,1.1701349132000405e-16
197,1.1766132250578443e-16
198,1.1843662643855987e-16
199,1.193381653905622e-16
200,1.2036441860167738e-16
201,1.2151355010206172e-16
202,1.227833741749223e-16
203,1.241713192808458e-16
204,1.25674391323781e-16
205,1.2728913718307523e-16
206,1.290116094654075e-16
207,1.3083733344391668e-16
208,1.3276127714878066e-16
209,1.347778255537099e-16
210,1.3688075976618858e-16
211,1.3906324207520823e-16
212,1.4131780764049548e-16
213,1.4363636352052213e-16
214,1.46010195635754e-16
215,1.4842998414812442e-16
216,1.5088582761076387e-16
217,1.5336727610390107e-16
218,1.5586337342671217e-16
219,1.5836270826289994e-16
220,1.6085347408223514e-16
221,1.633235373850711e-16
222,1.6576051374342128e-16
223,1.6815185094332043e-16
224,1.7048491834150077e-16
225,1.727471003520702e-16
226,1.7492590253480384e-16
227,1.7700904140810305e-16
228,1.7898455119833035e-16
229,1.8084089704353218e-16
230,1.8256707014650815e-16
231,1.8415269019445138e-16
232,1.8558810232232623e-16
233,1.8686446886408494e-16
234,1.8797385466115268e-16
235,1.8890930469521582e-16
236,1.8966491291030844e-16
237,1.9023588120958287e-16
238,1.9061856775228525e-16
239,1.9081052383162077e-16
240,1.9081051878368805e-16
241,1.9061855256664274e-16
242,1.902358558038077e-16
243,1.8966487729253934e-16
244,1.8890925918731863e-16
245,1.8797380022048725e-16
246,1.868644074662417e-16
247,1.8558803604823337e-16
248,1.8415262894737503e-16
249,1.8256702317141243e-16
250,1.8084086104713452e-16
251,1.7898452414554536e-16
252,1.7700902170312323e-16
253,1.749258907511754e-16
254,1.727470930061725e-16
255,1.7048491083829947e-16
256,1.6815184365040492e-16
257,1.6576050599078843e-16
258,1.633235286722979e-16
259,1.6085346408906416e-16
260,1.5836269681982584e-16
261,1.558633604891362e-16
262,1.5336726172631946e-16
263,1.5088581192010925e-16
264,1.484299673174383e-16
265,1.460101778601509e-16
266,1.4363634499709368e-16
267,1.4131778855325415e-16
