x,Total UO2++ [M]
83,4.801639991298877e-16
84,4.521338853831248e-16
85,4.200702408549226e-16
86,3.855719102597289e-16
87,3.5023973625441274e-16
88,3.1557370782284275e-16
89,2.828955430085138e-16
90,2.533015205605212e-16
91,2.276458552542976e-16
92,2.065519339725049e-16
93,1.904430731095855e-16
94,1.795838275340241e-16
95,1.7412192807935587e-16
96,2.5922374539640104e-16
97,2.709775309503013e-16
98,2.943465673961641e-16
99,3.290136885695502e-16
100,3.7441061546814417e-16
101,4.296275572387981e-16
102,4.933240774361977e-16
103,5.636625078442088e-16
104,6.382841385113114e-16
105,7.143441300341622e-16
106,7.886124586392903e-16
107,8.576422397650997e-16
108,9.179905982925666e-16
109,9.664713945822e-16
110,1.0004132052759706e-15
111,1.0178890450564722e-15
112,1.0178892995521035e-15
113,1.0004134845784885e-15
114,9.6647142963216e-16
115,9.179906258073369e-16
116,8.576422616931131e-16
117,7.886123089968291e-16
118,7.143439646891355e-16
119,6.382842982083106e-16
120,5.63662695048836e-16
121,4.933241052648413e-16
122,4.2962757175057917e-16
123,3.7441062534680804e-16
124,3.290136947616054e-16
125,2.943465707133696e-16
126,2.7097753231716494e-16
127,2.5922374617677607e-16
128,4.406130712126591e-16
129,4.658046205826726e-16
130,5.158921945116857e-16
131,5.901986790739343e-16
132,6.875096679500296e-16
133,8.058790895559526e-16
134,9.424373506604934e-16
135,1.0932477785679948e-15
136,1.2532549049757973e-15
137,1.4163589131690026e-15
138,1.5756320846925266e-15
139,1.723679914202181e-15
140,1.8531152894029018e-15
141,1.957101203452892e-15
142,2.0299046843976803e-15
143,2.067390126563242e-15
144,2.067390650460582e-15
145,2.0299052589802087e-15
146,1.9571012744718454e-15
147,1.8531153444472302e-15
148,1.723679957390909e-15
149,1.5756317741600611e-15
150,1.4163585702985614e-15
151,1.253255231382643e-15
152,1.0932482132802382e-15
153,9.424374116356726e-16
154,8.058791181142653e-16
155,6.875096869509549e-16
156,5.901986907331159e-16
157,5.158922004607802e-16
158,4.658046226639744e-16
159,4.4061307215097837e-16
160,8.197614153274997e-16
161,8.731101290667911e-16
162,9.791860622135543e-16
163,1.1365633129434848e-15
164,1.342680456964675e-15
165,1.5934269426398896e-15
166,1.88273450755278e-15
167,2.2022710094810475e-15
168,2.5413292249663827e-15
169,2.886983701315237e-15
170,3.224549481223794e-15
171,3.538347920429942e-15
172,3.812713008468892e-15
173,4.03314345078939e-15
174,4.187478429619208e-15
175,4.2669449094937286e-15
176,4.266945974671322e-15
177,4.1874795970790185e-15
178,4.033143592754677e-15
179,3.812713116896383e-15
180,3.538348003912564e-15
181,3.224548844169131e-15
182,2.886982994106713e-15
183,2.541329833307433e-15
184,2.2022727929508704e-15
185,1.882734720409959e-15
186,1.5934269964923281e-15
187,1.3426804873539527e-15
188,1.136563329569223e-15
189,9.791860683220794e-16
190,8.731101280716058e-16
191,8.197614123330134e-16
192,1.6000143261645679e-15
193,1.7114746013381668e-15
194,1.9331081437316737e-15
195,2.261956749761705e-15
196,2.6926953173323913e-15
197,3.2167625060045364e-15
198,3.821501301988951e-15
199,4.489514612184038e-15
200,5.198428286876663e-15
201,5.9212174266114836e-15
202,6.627165638054964e-15
203,7.283467898995916e-15
204,7.857338229255234e-15
205,8.3184235642729e-15
206,8.641266910625329e-15
207,8.80750177332405e-15
208,8.80750390832036e-15
209,8.641269249049764e-15
210,8.318423843765329e-15
211,7.857338439110437e-15
212,7.283468056822495e-15
213,6.627164346619328e-15
214,5.921215926848429e-15
215,5.198428492917874e-15
216,4.4895162998020925e-15
217,3.821502567497745e-15
218,3.2167624951018445e-15
219,2.6926952275940585e-15
220,2.2619566533848633e-15
221,1.933108044261366e-15
222,1.711474499888399e-15
223,1.6000142261372956e-15
224,3.18200410877474e-15
225,3.4116721729517338e-15
226,3.868384012384034e-15
227,4.546094321007332e-15
228,5.433893681724513e-15
229,6.514204633246954e-15
230,7.760995051213119e-15
231,9.138447407517751e-15
232,1.0600447887368624e-14
233,1.2091262438183208e-14
234,1.3547513829648944e-14
235,1.4901492839657096e-14
236,1.6085510790263012e-14
237,1.7036891363465533e-14
238,1.770306148156536e-14
239,1.8046087960688594e-14
240,1.8046092179981174e-14
241,1.770306610003737e-14
242,1.7036891908342264e-14
243,1.6085511192044528e-14
244,1.4901493134107623e-14
245,1.3547511243840976e-14
246,1.2091258926812916e-14
247,1.0600447657170989e-14
248,9.13844928055934e-15
249,7.760996943433565e-15
250,6.51420173874254e-15
251,5.433890960446315e-15
252,4.546091970184518e-15
253,3.868381952152397e-15
254,3.4116703097501346e-15
255,3.1820023431259284e-15
256,6.342402001915811e-15
257,6.8090766100724376e-15
258,7.737157174088345e-15
259,9.11447591264482e-15
260,1.0919011549965792e-14
261,1.3115197856070132e-14
262,1.565025996615778e-14
263,1.8451458354886265e-14
264,2.1425083579418696e-14
265,2.4457773215258038e-14
266,2.742054389384857e-14
267,3.0175567841011825e-14
