x,Total UO2++ [M]
446,1.9814857748910352e-16
447,1.963471241640045e-16
448,2.4558920444364673e-16
449,2.483142982655495e-16
450,2.537563134849212e-16
451,2.618983187084005e-16
452,2.727134775316882e-16
453,2.861634011579586e-16
454,3.0219608291657597e-16
455,3.2074352057742786e-16
456,3.4171915270031103e-16
457,3.650152436977637e-16
458,3.905003761254939e-16
459,4.180171948975398e-16
460,4.473805605024542e-16
461,4.783762551085642e-16
462,5.107603726674461e-16
463,5.442595049132629e-16
464,5.785718102067492e-16
465,6.133690225272879e-16
466,6.482994244481757e-16
467,6.829917718121058e-16
468,7.170601203948037e-16
469,7.501094675956156e-16
470,7.817420866769004e-16
471,8.115643988904532e-16
472,8.3919420156646355e-16
473,8.64268049269483e-16
474,8.864485674654547e-16
475,9.0543147888979e-16
476,9.20952122145228e-16
477,9.327912493734236e-16
478,9.407799166554683e-16
479,9.44803302676227e-16
480,9.448033292910482e-16
481,9.407799971610175e-16
482,9.327913832561475e-16
483,9.209523068251854e-16
484,9.05431711297815e-16
485,8.864488439566375e-16
486,8.642683657881603e-16
487,8.391945531135932e-16
488,8.115647803836688e-16
489,7.817424936022485e-16
490,7.501098951960751e-16
491,7.170605637687884e-16
492,6.82992226203669e-16
493,6.482998850495999e-16
494,6.133694816040094e-16
495,5.785722633929319e-16
496,5.442599515024457e-16
497,5.107608081883327e-16
498,4.783766770813158e-16
499,4.473809669187815e-16
500,4.180175842460122e-16
501,3.9050074743779777e-16
502,3.650155965582972e-16
503,3.417194873189258e-16
504,3.2074383783303717e-16
505,3.0219638332865477e-16
506,2.861636865103209e-16
507,2.7271374981838643e-16
508,2.6189858018477813e-16
509,2.5375656663546794e-16
510,2.4831454575388257e-16
511,2.455894490510359e-16
512,3.1928058111022526e-16
513,3.233895874795034e-16
514,3.315953036414735e-16
515,3.438722521475061e-16
516,3.60180046031392e-16
517,3.8046090341753823e-16
518,4.0463653048035554e-16
519,4.326045320671993e-16
520,4.642345394725351e-16
521,4.993642634629831e-16
522,5.3779570011569135e-16
523,5.79291723274056e-16
524,6.235732898237104e-16
525,6.70317480041993e-16
526,7.191565703158096e-16
527,7.696783073958824e-16
528,8.214275156938008e-16
529,8.739091242804868e-16
530,9.265926496578985e-16
531,9.789181158040823e-16
532,1.030303336447731e-15
533,1.080152428258476e-15
534,1.12786536997013e-15
535,1.1728483737562797e-15
536,1.2145247940732923e-15
537,1.2523462718302445e-15
538,1.2858037693745321e-15
539,1.3144381754844125e-15
540,1.3378501497297509e-15
541,1.3557088711341791e-15
542,1.3677594142557175e-15
543,1.3738285225144255e-15
544,1.3738285622313421e-15
545,1.367759535359404e-15
546,1.3557090751894176e-15
547,1.3378504331581084e-15
548,1.3144385315660658e-15
549,1.2858041924103567e-15
550,1.2523467566082163e-15
551,1.21452533207585e-15
552,1.1728489565773827e-15
553,1.1278659917414405e-15
554,1.080153081702729e-15
555,1.0303040136983212e-15
556,9.78918808932484e-16
557,9.265933507700512e-16
558,8.739098252099849e-16
559,8.214282095456846e-16
560,7.69678988891134e-16
561,7.19157235783634e-16
562,6.703181250146125e-16
563,6.23573911055889e-16
564,5.792923184055205e-16
565,5.377962676349122e-16
566,4.99364802716432e-16
567,4.642350508433365e-16
568,4.326050162559248e-16
569,4.0463698910522037e-16
570,3.804613391279113e-16
571,3.6018046180715504e-16
572,3.438726514054932e-16
573,3.3159569016862857e-16
574,3.233899653458861e-16
575,3.1928095457039104e-16
576,4.289992259799137e-16
577,4.3517148394161703e-16
578,4.474975811208618e-16
579,4.659393511177763e-16
580,4.904362807596653e-16
581,5.209017723481513e-16
582,5.572184547585589e-16
583,5.992327827433028e-16
584,6.467492033242503e-16
585,6.995242268187588e-16
586,7.572606942375122e-16
587,8.196026542039574e-16
588,8.861311456976021e-16
589,9.563612401114552e-16
590,1.0297406361051061e-15
591,1.1056500618329468e-15
592,1.1834056828389396e-15
593,1.2622636461346432e-15
594,1.3414268148108583e-15
595,1.4200536653950347e-15
596,1.4972692350726613e-15
597,1.5721779212184046e-15
598,1.6438778549188503e-15
599,1.7114764964426872e-15
600,1.7741070345839274e-15
601,1.830945164523722e-15
602,1.8812256830069394e-15
603,1.9242583585955283e-15
604,1.9594428729451885e-15
605,1.9862818814320548e-15
606,2.0043921394747565e-15
607,2.0135131762978194e-15
608,2.0135132152973785e-15
609,2.004392307143264e-15
610,1.986282180667706e-15
611,1.959443289685474e-15
612,1.924258884582934e-15
613,1.8812263088561902e-15
614,1.830945905679232e-15
615,1.7741078555228674e-15
616,1.7114773819287823e-15
617,1.6438788009320084e-15
618,1.5721789160278633e-15
619,1.497270266102405e-15
620,1.420054720234876e-15
621,1.3414278814251691e-15
622,1.2622647130299957e-15
623,1.1834067395092548e-15
624,1.105651099170933e-15
625,1.0297416490758435e-15
626,9.563622218872006e-16
627,8.861320913068872e-16
628,8.196035600528207e-16
629,7.57261557982427e-16
630,6.995250474911197e-16
631,6.46749981898029e-16
632,5.9923351785335795e-16
633,5.572191519590024e-16
634,5.209024348573041e-16
635,4.904369129505365e-16
636,4.659399581547316e-16
637,4.474981687612942e-16
638,4.351720583841315e-16
639,4.289997937089608e-16
640,5.915974569293091e-16
641,6.008318373452337e-16
642,6.192731392836537e-16
643,6.46864454393592e-16
644,6.835155297101797e-16
645,7.290971650803795e-16
646,7.834341833225125e-16
647,8.462973310833374e-16
648,9.173945339922275e-16
649,9.963619874839348e-16
650,1.0827555695133246e-15
651,1.1760431411993753e-15
652,1.2755982111812646e-15
653,1.3806954885922822e-15
654,1.4905087611262165e-15
655,1.6041114816390184e-15
656,1.7204803610448725e-15
657,1.8385021631204054e-15
658,1.956983782748231e-15
659,2.074665566012452e-15
660,2.1902377029874587e-15
661,2.302359397207873e-15
662,2.4096803951291307e-15
663,2.5108643396511802e-15
664,2.604613376295325e-15
665,2.689693191357462e-15
666,2.7649579287663803e-15
667,2.8293740950340572e-15
